3,Aniya,Walker,6-2,G,R-Jr.,https://d38n6ijpo0s45r.cloudfront.net/images/2022/8/25/walker.png?width=100&height=100&mode=crop&anchor=topcenter
4,Megan,McConnell,5-7,G,So.,https://d38n6ijpo0s45r.cloudfront.net/images/2022/8/25/mcconnell.png?width=100&height=100&mode=crop&anchor=topcenter
5,Reilly,Sunday,5-9,G,Fr.,https://d38n6ijpo0s45r.cloudfront.net/images/2022/8/25/sunday.png?width=100&height=100&mode=crop&anchor=topcenter
10,Singo,Lekeuneu,5-6,G,So.,https://d38n6ijpo0s45r.cloudfront.net/images/2022/8/25/singo.png?width=100&height=100&mode=crop&anchor=topcenter
11,Naelle,Bernard,5-5,G,So.,https://d38n6ijpo0s45r.cloudfront.net/images/2022/8/25/bernard.png?width=100&height=100&mode=crop&anchor=topcenter
12,Dea,Pushkolli,5-11,G,Fr.,https://d38n6ijpo0s45r.cloudfront.net/images/2022/8/25/pushkolli.png?width=100&height=100&mode=crop&anchor=topcenter
14,Lauren,Wasylson,6-0,G,R-Jr.,https://d38n6ijpo0s45r.cloudfront.net/images/2022/8/25/wasylson.png?width=100&height=100&mode=crop&anchor=topcenter
20,Amaya,Hamilton,6-2,G/F,Jr.,https://d38n6ijpo0s45r.cloudfront.net/images/2022/9/8/hamilton.png?width=100&height=100&mode=crop&anchor=topcenter
22,Liv,Westphal,5-9,G,R-Fr.,https://d38n6ijpo0s45r.cloudfront.net/images/2022/8/31/westphal.png?width=100&height=100&mode=crop&anchor=topcenter
24,Tess,Myers,5-9,G,So.,https://d38n6ijpo0s45r.cloudfront.net/images/2022/8/25/myers.png?width=100&height=100&mode=crop&anchor=topcenter
25,Kaitlyn,Ammons,6-3,F,So.,https://d38n6ijpo0s45r.cloudfront.net/images/2022/8/25/Ammons.png?width=100&height=100&mode=crop&anchor=topcenter
30,Selma,Kulo,6-4,C,R-Fr.,https://d38n6ijpo0s45r.cloudfront.net/images/2022/8/25/kulo.png?width=100&height=100&mode=crop&anchor=topcenter
31,Precious,Johnson,6-4,C,Jr.,https://d38n6ijpo0s45r.cloudfront.net/images/2022/8/25/johnson.png?width=100&height=100&mode=crop&anchor=topcenter
44,Ayanna,Townsend,6-2,F,Jr.,https://d38n6ijpo0s45r.cloudfront.net/images/2022/8/25/townsend.png?width=100&height=100&mode=crop&anchor=topcenter
Dan,Burt,Head Coach,https://d38n6ijpo0s45r.cloudfront.net/images/2022/8/25/Burt_NoGlasses.png?width=100&height=100&mode=crop&anchor=topcenter
Cherie,Lea,Associate Head Coach,https://d38n6ijpo0s45r.cloudfront.net/images/2021/10/29/WBB21_Lea_copy.jpg?width=100&height=100&mode=crop&anchor=topcenter
Vanessa,Abel,Assistant Coach,https://d38n6ijpo0s45r.cloudfront.net/images/2021/10/29/WBB21_Abel_copy.jpg?width=100&height=100&mode=crop&anchor=topcenter
Rick,Bell,Assistant Coach,https://d38n6ijpo0s45r.cloudfront.net/images/2021/10/29/WBB21_Bell_Rick_copy.jpg?width=100&height=100&mode=crop&anchor=topcenter
Melissa,Franko,Director of Basketball Operations,https://d38n6ijpo0s45r.cloudfront.net/images/2021/10/29/WBB21_Franko_copy.jpg?width=100&height=100&mode=crop&anchor=topcenter
Frank,Ferraro,Assistant to the Head Coach,https://d38n6ijpo0s45r.cloudfront.net/images/2021/10/29/WBB21_Ferrero_copy.jpg?width=100&height=100&mode=crop&anchor=topcenter
Stasia,King,Video Production Manager,https://d38n6ijpo0s45r.cloudfront.net/images/2021/10/29/WBB21_King_copy.jpg?width=100&height=100&mode=crop&anchor=topcenter
RJ,Bell,Graduate Assistant,https://d38n6ijpo0s45r.cloudfront.net/images/2022/9/8/rj_bell.png?width=100&height=100&mode=crop&anchor=topcenter
Snezhana,Serafimoska,Student Assistant Coach,https://d38n6ijpo0s45r.cloudfront.net/images/2019/10/21/serafimoska_cropped_71.png?width=100&height=100&mode=crop&anchor=topcenter
