1,Abby,Bosco,'5-3,D,Gr.,/images/2022/10/5/Bosco_Abby.jpg?width=100&height=110&mode=crop&anchor=topcenter
2,Victoria,Hensh,'5-5,A,Jr.,/images/2022/10/5/Hensh_Victoria.jpg?width=100&height=110&mode=crop&anchor=topcenter
3,Maddie,Sanchez,'5-6,D,Gr.,/images/2022/10/5/Sanchez_Madison.jpg?width=100&height=110&mode=crop&anchor=topcenter
4,Brianna,Lamoureux,'5-4,D,Sr.,/images/2022/10/5/Lamoureux_Brianna.jpg?width=100&height=110&mode=crop&anchor=topcenter
5,Sophia,Antonopoulos,'5-2,M,Sr.,/images/2022/10/5/Antonopoulos_Sophia.jpg?width=100&height=110&mode=crop&anchor=topcenter
6,Eloise,Clevenger,'5-6,A,Jr.,/images/2022/10/5/Clevenger_Eloise.jpg?width=100&height=110&mode=crop&anchor=topcenter
7,Hailey,Russo,'6-0,A,So.,/images/2022/10/5/Russo_Hailey.jpg?width=100&height=110&mode=crop&anchor=topcenter
9,Libby,May,'5-7,A,Sr.,/images/2022/10/5/May_Libby.jpg?width=100&height=110&mode=crop&anchor=topcenter
10,Celia,Pell,'5-5,M,R-Fr.,/images/2022/10/5/Pell_Celia.jpg?width=100&height=110&mode=crop&anchor=topcenter
11,Aiden,Peduzzi,'5-3,D,Jr.,/images/2022/10/5/Peduzzi_Aiden.jpg?width=100&height=110&mode=crop&anchor=topcenter
13,Mae,Marshall,'5-3,D,Fr.,/images/2022/10/5/Marshall_Mae.jpg?width=100&height=110&mode=crop&anchor=topcenter
14,Kori,Edmondson,'5-8,M,Fr.,/images/2022/10/5/Edmondson_Kori.jpg?width=100&height=110&mode=crop&anchor=topcenter
15,Lily,Grant,'5-11,D,So.,/images/2022/10/5/Grant_Lily.jpg?width=100&height=110&mode=crop&anchor=topcenter
17,Maddy,Sterling,'5-7,M,R-Fr.,/images/2022/10/5/Sterling_Maddy.jpg?width=100&height=110&mode=crop&anchor=topcenter
18,Chrissy,Thomas,'5-2,A,Jr.,/images/2022/10/5/Thomas_Christine.jpg?width=100&height=110&mode=crop&anchor=topcenter
19,Maggie,Weisman,'5-8,A,Fr.,/images/2022/10/5/Weisman_Maggie.jpg?width=100&height=110&mode=crop&anchor=topcenter
20,Neve,O'Ferrall,'5-4,D,Fr.,/images/2022/10/5/O_Ferrall_Neve.jpg?width=100&height=110&mode=crop&anchor=topcenter
21,Jordyn,Lipkin,'5-5,M,So.,/images/2022/10/5/Lipkin__Jordyn_Da28K.jpg?width=100&height=110&mode=crop&anchor=topcenter
22,Jaylen,Rosga,'5-6,M,Fr.,/images/2022/10/5/Rosga_Jaylen.jpg?width=100&height=110&mode=crop&anchor=topcenter
23,Natalie,Pansini,'5-6,M,So.,/images/2022/10/5/Pansini_Natalie.jpg?width=100&height=110&mode=crop&anchor=topcenter
24,Shaylan,Ahearn,'5-7,M,Sr.,/images/2022/10/5//Ahearn__Shaylan.jpg?width=100&height=110&mode=crop&anchor=topcenter
25,Demma,Hall,'5-7,M,So.,/images/2022/10/5/Hall_Demma.jpg?width=100&height=110&mode=crop&anchor=topcenter
28,Julia,Hammerschlag,'5-5,G,Jr.,/images/2022/10/5/Hammerschlag_Julia.jpg?width=100&height=110&mode=crop&anchor=topcenter
29,Clancy,Rheude,'5-6,D,R-Jr.,/images/2022/10/5/Rheude_Clancy.jpg?width=100&height=110&mode=crop&anchor=topcenter
31,Olivia,Rockstroh,'5-6,D,Fr.,/images/2022/10/5/Rockstroh_Olivia.jpg?width=100&height=110&mode=crop&anchor=topcenter
32,Shannon,Smith,'5-9,M,Jr.,/images/2022/10/5/Smith_Shannon.jpg?width=100&height=110&mode=crop&anchor=topcenter
33,Emily,Sterling,'5-5,G,Sr.,/images/2022/10/5/Sterling_Emily.jpg?width=100&height=110&mode=crop&anchor=topcenter
34,Kate,Sites,'5-4,A,Jr.,/images/2022/10/5/Sites_Kate.jpg?width=100&height=110&mode=crop&anchor=topcenter
35,Marge,Donovan,'5-10,D,Gr.,/images/2022/10/5/Donovan_Marge.jpg?width=100&height=110&mode=crop&anchor=topcenter
36,Emma,Muchnick,'5-4,M,Fr.,/images/2022/10/5/Muchnick_Emma.jpg?width=100&height=110&mode=crop&anchor=topcenter
37,Carly,Peterson,'5-8,G,Fr.,/images/2022/10/5/Peterson_Carly.jpg?width=100&height=110&mode=crop&anchor=topcenter
40,Hannah,Leubecker,'5-5,A,Sr.,/images/2022/10/5/Leubecker_Hannah.jpg?width=100&height=110&mode=crop&anchor=topcenter
44,Kennedy,Major,'5-2,D,R-Fr.,/images/2022/10/5/Major_Kennedy.jpg?width=100&height=110&mode=crop&anchor=topcenter
,Cathy,Reese,,Head Coach,,/images/2015/7/29/GTKUFYXQIKJLYUD.20150729151327.jpg?width=100&height=110&mode=crop&anchor=topcenter
,Lauri,Kenis,,Assistant Coach,,/images/2015/7/29/CGMFDHHCQWARWQJ.20150729151052.jpg?width=100&height=110&mode=crop&anchor=topcenter
,Caitlyn,Phipps,,Assistant Coach,,/images/2015/7/29/DNIEEIYIIKUBHRI.20150729151304.jpg?width=100&height=110&mode=crop&anchor=topcenter
,Nadine,Hadnagy,,Director of Operations,,/images/2021/9/22/Hadnagy_Nadine_05.jpg?width=100&height=110&mode=crop&anchor=topcenter
